C,T,N,Kmax,Jmin,Tempo,HMenorJ,seed,O
10,0.2,10000,50,6.493379047072682,0.8093116,false,1,true
10,0.2,10000,50,6.493379047072682,0.0001999,false,2,true
10,0.2,10000,50,6.493379047072682,0.0001144,false,3,true
10,0.2,10000,50,6.493379047072682,0.0001182,false,4,true
10,0.2,10000,50,6.493379047072682,0.0001067,false,5,true
10,0.2,10000,50,6.493379047072682,9.97e-5,false,6,true
10,0.2,10000,50,6.493379047072682,9.1e-5,false,7,true
10,0.2,10000,50,6.493379047072682,9.12e-5,false,8,true
10,0.2,10000,50,6.493379047072681,9.69e-5,false,9,true
10,0.2,10000,50,6.493379047072682,0.0001262,false,10,true
